sna,tot,lat,lng,流量,路徑
捷運科技大樓站,29,25.02605,121.5436,335,05-29表格/捷運科技大樓站.jpg
復興南路二段273號前,21,25.02565,121.54357,156,05-29表格/復興南路二段273號前.jpg
國北教大實小東側門,16,25.02429,121.54124,88,05-29表格/國北教大實小東側門.jpg
和平公園東側,11,25.02351,121.54282,138,05-29表格/和平公園東側.jpg
辛亥復興路口西北側,16,25.02153,121.54299,180,05-29表格/辛亥復興路口西北側.jpg
復興南路二段280號前,11,25.02429,121.54328,80,05-29表格/復興南路二段280號前.jpg
復興南路二段340巷口,11,25.02253,121.54326,60,05-29表格/復興南路二段340巷口.jpg
新生南路三段52號前,17,25.02112,121.53407,56,05-29表格/新生南路三段52號前.jpg
新生南路三段66號前,16,25.01976,121.53384,149,05-29表格/新生南路三段66號前.jpg
新生南路三段82號前,20,25.01894,121.53361,281,05-29表格/新生南路三段82號前.jpg
辛亥路一段30號前,8,25.01986,121.52982,103,05-29表格/辛亥路一段30號前.jpg
和平復興路口西北側,9,25.02543,121.54332,149,05-29表格/和平復興路口西北側.jpg
羅斯福路三段311號前,11,25.01717,121.53202,178,05-29表格/羅斯福路三段311號前.jpg
大安運動中心停車場,14,25.020348,121.546446,109,05-29表格/大安運動中心停車場.jpg
羅斯福路三段245號前,8,25.01927,121.52989,68,05-29表格/羅斯福路三段245號前.jpg
羅斯福路三段269巷5號前,10,25.01913,121.53079,0,05-29表格/羅斯福路三段269巷5號前.jpg
溫州公園,5,25.01895,121.53156,103,05-29表格/溫州公園.jpg
和平臥龍街口,15,25.024461,121.546705,118,05-29表格/和平臥龍街口.jpg
溫州停車場,5,25.02093,121.5331,51,05-29表格/溫州停車場.jpg
銘傳國小側門,7,25.01385,121.53549,120,05-29表格/銘傳國小側門.jpg
捷運公館站(2號出口),99,25.01491,121.53438,981,05-29表格/捷運公館站(2號出口).jpg
第二學生活動中心,27,25.01244,121.53661,154,05-29表格/第二學生活動中心.jpg
臺灣科技大學正門,30,25.01451,121.54142,30,05-29表格/臺灣科技大學正門.jpg
臺灣科技大學側門,35,25.01295,121.53973,216,05-29表格/臺灣科技大學側門.jpg
公館公園,15,25.01137,121.54062,80,05-29表格/公館公園.jpg
臺灣科技大學後門,39,25.01182,121.54165,402,05-29表格/臺灣科技大學後門.jpg
臺大醫學院附設癌醫中心,20,25.01426,121.54382,59,05-29表格/臺大醫學院附設癌醫中心.jpg
臺大環研大樓,15,25.01234,121.54503,28,05-29表格/臺大環研大樓.jpg
臺大永齡生醫工程館,34,25.0136,121.54656,34,05-29表格/臺大永齡生醫工程館.jpg
臺大男七舍前,20,25.01537,121.54698,109,05-29表格/臺大男七舍前.jpg
臺大男一舍前,61,25.01637,121.54535,187,05-29表格/臺大男一舍前.jpg
臺大男六舍前,46,25.01664,121.5452,151,05-29表格/臺大男六舍前.jpg
臺大動物醫院前,18,25.01576,121.54291,55,05-29表格/臺大動物醫院前.jpg
臺大土木研究大樓前,11,25.01787,121.5476,30,05-29表格/臺大土木研究大樓前.jpg
臺大萬才館前,20,25.02032,121.54497,28,05-29表格/臺大萬才館前.jpg
臺大國青大樓宿舍前,20,25.02076,121.54432,100,05-29表格/臺大國青大樓宿舍前.jpg
臺大社科院圖書館前,27,25.02101,121.54284,116,05-29表格/臺大社科院圖書館前.jpg
臺大法人語言訓練中心前,28,25.02104,121.54081,89,05-29表格/臺大法人語言訓練中心前.jpg
臺大綜合體育館停車場前,25,25.0222,121.53626,49,05-29表格/臺大綜合體育館停車場前.jpg
辛亥新生路口東南側,21,25.02218,121.53474,57,05-29表格/辛亥新生路口東南側.jpg
基隆長興路口東側,15,25.01727,121.54471,135,05-29表格/基隆長興路口東側.jpg
國北教大側門南側,25,25.022864,121.546622,72,05-29表格/國北教大側門南側.jpg
和平實小東北側,13,25.021641,121.54704,59,05-29表格/和平實小東北側.jpg
大安區健康服務中心,15,25.021469,121.544069,48,05-29表格/大安區健康服務中心.jpg
辛亥泰順街口,20,25.02193,121.53165,134,05-29表格/辛亥泰順街口.jpg
芳和國中,28,25.0189,121.55013,55,05-29表格/芳和國中.jpg
臥龍樂業街口,36,25.01856,121.55558,167,05-29表格/臥龍樂業街口.jpg
臥龍公園,14,25.01623,121.55037,36,05-29表格/臥龍公園.jpg
嘉興公園,44,25.021,121.55211,294,05-29表格/嘉興公園.jpg
捷運麟光站(2號出口),25,25.0181,121.55929,163,05-29表格/捷運麟光站(2號出口).jpg
捷運六張犁站,30,25.02397,121.55266,397,05-29表格/捷運六張犁站.jpg
喬治工商,26,25.02705,121.55551,120,05-29表格/喬治工商.jpg
法治公園,15,25.02694,121.55325,111,05-29表格/法治公園.jpg
捷運臺電大樓站(2號出口),14,25.02021,121.52942,179,05-29表格/捷運臺電大樓站(2號出口).jpg
和平金山路口,32,25.02669,121.52529,164,05-29表格/和平金山路口.jpg
和平龍泉街口,17,25.02638,121.52971,246,05-29表格/和平龍泉街口.jpg
和平泰順街口,9,25.02621,121.53171,153,05-29表格/和平泰順街口.jpg
臺灣師範大學(圖書館),33,25.0266,121.52973,323,05-29表格/臺灣師範大學(圖書館).jpg
捷運古亭站(6號出口),15,25.0276,121.52217,0,05-29表格/捷運古亭站(6號出口).jpg
捷運古亭站(5號出口),14,25.02715,121.52293,234,05-29表格/捷運古亭站(5號出口).jpg
臺北市立圖書館(總館),32,25.02895,121.5379,310,05-29表格/臺北市立圖書館(總館).jpg
新生和平路口東北側,35,25.02657,121.53515,279,05-29表格/新生和平路口東北側.jpg
建國和平路口西北側,41,25.02606,121.53738,354,05-29表格/建國和平路口西北側.jpg
金華公園,23,25.02984,121.53107,276,05-29表格/金華公園.jpg
捷運東門站(3號出口),15,25.03383,121.52815,177,05-29表格/捷運東門站(3號出口).jpg
金甌女中,12,25.03519,121.5245,100,05-29表格/金甌女中.jpg
金杭公園,20,25.03325,121.52436,102,05-29表格/金杭公園.jpg
愛國金山路口,33,25.03164,121.52661,133,05-29表格/愛國金山路口.jpg
敦化南路二段293巷口南側,14,25.0237,121.54899,22,05-29表格/敦化南路二段293巷口南側.jpg
敦化基隆路口,32,25.02215,121.54839,78,05-29表格/敦化基隆路口.jpg
安和路二段181巷口,17,25.02721,121.54988,99,05-29表格/安和路二段181巷口.jpg
臨江街夜市(通化街101巷口),30,25.02952,121.55406,232,05-29表格/臨江街夜市(通化街101巷口).jpg
臨江街夜市(基隆路),17,25.02931,121.55721,182,05-29表格/臨江街夜市(基隆路).jpg
台北科技大學億光大樓,46,25.04177,121.53833,129,05-29表格/台北科技大學億光大樓.jpg
新生南路一段119巷口,33,25.04003,121.53299,221,05-29表格/新生南路一段119巷口.jpg
幸安國小(仁愛路),16,25.03753,121.53523,89,05-29表格/幸安國小(仁愛路).jpg
民榮公園,15,25.03534,121.5354,132,05-29表格/民榮公園.jpg
復興南路1段340巷口,38,25.03701,121.54348,143,05-29表格/復興南路1段340巷口.jpg
建國濟南路口,29,25.03935,121.53828,145,05-29表格/建國濟南路口.jpg
捷運忠孝復興站(2號出口),58,25.04035,121.5436,421,05-29表格/捷運忠孝復興站(2號出口).jpg
捷運大安站(4號出口),13,25.0332,121.5439,333,05-29表格/捷運大安站(4號出口).jpg
捷運大安站(2號出口),22,25.03358,121.54141,135,05-29表格/捷運大安站(2號出口).jpg
信義大安路口(信維大樓),12,25.03317,121.54639,136,05-29表格/信義大安路口(信維大樓).jpg
龍門廣場,50,25.04092,121.54825,321,05-29表格/龍門廣場.jpg
仁愛安和路口,20,25.03754,121.55285,147,05-29表格/仁愛安和路口.jpg
信義敦化路口,42,25.03333,121.54977,323,05-29表格/信義敦化路口.jpg
仁愛國中,25,25.03706,121.55166,66,05-29表格/仁愛國中.jpg
捷運信義安和站(2號出口),26,25.03304,121.55171,154,05-29表格/捷運信義安和站(2號出口).jpg
八德市場,30,25.04463,121.53665,96,05-29表格/八德市場.jpg
昌隆公園,16,25.04448,121.53946,63,05-29表格/昌隆公園.jpg
捷運大安森林公園站(2號出口),52,25.03332,121.53435,405,05-29表格/捷運大安森林公園站(2號出口).jpg
信義延吉街口,15,25.03318,121.55725,122,05-29表格/信義延吉街口.jpg
光信公園(光復南路456巷),15,25.03513,121.5561,114,05-29表格/光信公園(光復南路456巷).jpg
僑安地下停車場(2號出口)東南側,20,25.0391,121.5569,191,05-29表格/僑安地下停車場(2號出口)東南側.jpg
建國南路一段279巷口,32,25.03635,121.53833,213,05-29表格/建國南路一段279巷口.jpg
捷運忠孝新生站(6號出口),15,25.04091,121.53295,57,05-29表格/捷運忠孝新生站(6號出口).jpg
大安高工,23,25.03126,121.54339,172,05-29表格/大安高工.jpg
捷運忠孝新生站(3號出口),23,25.04189,121.53376,149,05-29表格/捷運忠孝新生站(3號出口).jpg
瑠公公園,20,25.04201,121.54612,160,05-29表格/瑠公公園.jpg
敦化市民路口,25,25.04405,121.5486,119,05-29表格/敦化市民路口.jpg
捷運大安森林公園站(5號出口),15,25.03336,121.5364,326,05-29表格/捷運大安森林公園站(5號出口).jpg
信義建國路口,34,25.0328,121.53746,368,05-29表格/信義建國路口.jpg
東豐公園,19,25.03569,121.5451,100,05-29表格/東豐公園.jpg
德安公園(四維路66巷),14,25.03473,121.54767,97,05-29表格/德安公園(四維路66巷).jpg
捷運忠孝復興站(5號出口),41,25.04262,121.54443,271,05-29表格/捷運忠孝復興站(5號出口).jpg
捷運忠孝敦化站(2號出口),17,25.04153,121.5524,257,05-29表格/捷運忠孝敦化站(2號出口).jpg
捷運忠孝敦化站(7號出口),18,25.04159,121.54937,224,05-29表格/捷運忠孝敦化站(7號出口).jpg
瑞安街208巷,15,25.02979,121.54053,167,05-29表格/瑞安街208巷.jpg
樂利路21巷口,17,25.0277,121.55132,146,05-29表格/樂利路21巷口.jpg
捷運科技大樓站(台北教育大學),20,25.02469,121.54459,126,05-29表格/捷運科技大樓站(台北教育大學).jpg
捷運國父紀念館站(2號出口),31,25.04122,121.55745,355,05-29表格/捷運國父紀念館站(2號出口).jpg
仁愛醫院,20,25.03756,121.54587,196,05-29表格/仁愛醫院.jpg
捷運信義安和站(4號出口),18,25.03305,121.55378,401,05-29表格/捷運信義安和站(4號出口).jpg
成功國宅,20,25.02681,121.54668,293,05-29表格/成功國宅.jpg
仁愛延吉街口,17,25.03748,121.55564,210,05-29表格/仁愛延吉街口.jpg
捷運信義安和站(1號出口),23,25.03331,121.55265,238,05-29表格/捷運信義安和站(1號出口).jpg
敦化南路二段103巷口,12,25.0287,121.54904,163,05-29表格/敦化南路二段103巷口.jpg
復興南路二段128巷口,24,25.02861,121.54336,286,05-29表格/復興南路二段128巷口.jpg
和平東建國南路口,14,25.02575,121.5377,117,05-29表格/和平東建國南路口.jpg
芳蘭山莊,16,25.01223,121.54788,24,05-29表格/芳蘭山莊.jpg
復興南路一段126巷口,15,25.04311,121.54313,122,05-29表格/復興南路一段126巷口.jpg
捷運東門站(5號出口),28,25.03363,121.52962,402,05-29表格/捷運東門站(5號出口).jpg
仁愛路四段48巷口,11,25.03609,121.54709,101,05-29表格/仁愛路四段48巷口.jpg
臺北科技大學(電機工程系),16,25.04196,121.53653,56,05-29表格/臺北科技大學(電機工程系).jpg
忠孝東路三段217巷口,34,25.04176,121.54027,162,05-29表格/忠孝東路三段217巷口.jpg
新生南路三段94巷口,15,25.01744,121.53334,171,05-29表格/新生南路三段94巷口.jpg
辛亥新生路口西北側,12,25.02267,121.5341,84,05-29表格/辛亥新生路口西北側.jpg
捷運大安站(6號出口),19,25.03479,121.54376,96,05-29表格/捷運大安站(6號出口).jpg
臥龍街195巷口,14,25.01783,121.55224,59,05-29表格/臥龍街195巷口.jpg
辛亥路三段157巷口,19,25.01727,121.54904,26,05-29表格/辛亥路三段157巷口.jpg
臥龍基隆路口,16,25.02039,121.54853,59,05-29表格/臥龍基隆路口.jpg
敦親公園,16,25.02347,121.54108,176,05-29表格/敦親公園.jpg
大安運動中心,18,25.02054,121.54561,170,05-29表格/大安運動中心.jpg
和平敦化路口,22,25.02444,121.54908,150,05-29表格/和平敦化路口.jpg
基隆長興路口,43,25.01705,121.54435,47,05-29表格/基隆長興路口.jpg
仁愛路四段122巷口,16,25.03762,121.55009,90,05-29表格/仁愛路四段122巷口.jpg
市民敦化路口,15,25.04464,121.54944,74,05-29表格/市民敦化路口.jpg
忠孝東路四段49巷口,15,25.04172,121.54541,93,05-29表格/忠孝東路四段49巷口.jpg
市民復興路口(東南側),16,25.04472,121.54401,0,05-29表格/市民復興路口(東南側).jpg
全安公園,16,25.02535,121.55101,77,05-29表格/全安公園.jpg
信義路三段134巷口,19,25.03333,121.53968,153,05-29表格/信義路三段134巷口.jpg
仁愛敦南圓環(東南側),16,25.03715,121.54936,64,05-29表格/仁愛敦南圓環(東南側).jpg
臺北遠企購物中心,26,25.02709,121.54902,71,05-29表格/臺北遠企購物中心.jpg
外交部外交及國際事務學院,17,25.0371,121.54839,50,05-29表格/外交部外交及國際事務學院.jpg
延平國宅,30,25.07894,121.51121,70,05-29表格/延平國宅.jpg
臺北市立圖書館大同分館,20,25.0741,121.51349,45,05-29表格/臺北市立圖書館大同分館.jpg
合昌宮,15,25.07717,121.50934,41,05-29表格/合昌宮.jpg
民族延平路口,14,25.06864,121.5107,166,05-29表格/民族延平路口.jpg
重慶酒泉街口,14,25.07158,121.51368,137,05-29表格/重慶酒泉街口.jpg
樹德公園,14,25.06647,121.5165,149,05-29表格/樹德公園.jpg
陳天來故居,18,25.05601,121.50895,414,05-29表格/陳天來故居.jpg
臺北孔廟,20,25.07378,121.51583,144,05-29表格/臺北孔廟.jpg
捷運圓山站(1號出口),44,25.07133,121.52024,653,05-29表格/捷運圓山站(1號出口).jpg
酒泉延平路口,15,25.0722,121.51057,68,05-29表格/酒泉延平路口.jpg
重慶國中,37,25.07567,121.51862,33,05-29表格/重慶國中.jpg
重慶北路三段383巷口,15,25.07598,121.51409,27,05-29表格/重慶北路三段383巷口.jpg
台北數位產業園區,24,25.07447,121.52003,103,05-29表格/台北數位產業園區.jpg
民權延平路口(西北側),20,25.06326,121.51099,91,05-29表格/民權延平路口(西北側).jpg
民權迪化街口,23,25.06327,121.50943,178,05-29表格/民權迪化街口.jpg
大稻埕公園,19,25.05915,121.51033,327,05-29表格/大稻埕公園.jpg
大龍老人住宅,14,25.06853,121.51729,64,05-29表格/大龍老人住宅.jpg
大龍峒社會住宅,20,25.0708,121.51826,80,05-29表格/大龍峒社會住宅.jpg
捷運大橋頭站(2號出口),21,25.06314,121.51308,197,05-29表格/捷運大橋頭站(2號出口).jpg
捷運大橋頭站(1A出口),18,25.06325,121.51162,108,05-29表格/捷運大橋頭站(1A出口).jpg
捷運民權西路站(2號出口),25,25.06174,121.51969,73,05-29表格/捷運民權西路站(2號出口).jpg
捷運雙連站(2號出口),31,25.05826,121.52063,360,05-29表格/捷運雙連站(2號出口).jpg
捷運北門站(3號出口),48,25.04991,121.5104,398,05-29表格/捷運北門站(3號出口).jpg
朝陽公園,10,25.05592,121.51367,98,05-29表格/朝陽公園.jpg
永樂市場,14,25.05454,121.51052,439,05-29表格/永樂市場.jpg
大龍公園,18,25.07049,121.51596,109,05-29表格/大龍公園.jpg
重慶涼州街口,13,25.06054,121.51338,81,05-29表格/重慶涼州街口.jpg
圓環站,21,25.05369,121.51418,284,05-29表格/圓環站.jpg
重慶民族路口,13,25.06853,121.51359,115,05-29表格/重慶民族路口.jpg
承德路三段8巷口,10,25.06407,121.51822,46,05-29表格/承德路三段8巷口.jpg
太原廣場,31,25.04925,121.51468,245,05-29表格/太原廣場.jpg
國順公園,20,25.06592,121.51014,152,05-29表格/國順公園.jpg
聯合醫院中興院區,13,25.05205,121.50818,112,05-29表格/聯合醫院中興院區.jpg
蔣渭水紀念公園,24,25.06011,121.51729,113,05-29表格/蔣渭水紀念公園.jpg
迪化休閒運動公園,12,25.07491,121.5115,67,05-29表格/迪化休閒運動公園.jpg
大同運動中心,16,25.06496,121.51608,94,05-29表格/大同運動中心.jpg
重慶保安街口(家樂福重慶店),20,25.05918,121.51373,190,05-29表格/重慶保安街口(家樂福重慶店).jpg
歸綏戲曲公園,20,25.05805,121.51353,129,05-29表格/歸綏戲曲公園.jpg
民權國中(民權西路),17,25.06322,121.5144,67,05-29表格/民權國中(民權西路).jpg
承德民權路口,17,25.06247,121.51839,99,05-29表格/承德民權路口.jpg
南京太原路口,18,25.05366,121.51638,161,05-29表格/南京太原路口.jpg
承德民生西路口,11,25.05756,121.51828,87,05-29表格/承德民生西路口.jpg
太原五原路口,20,25.05646,121.51698,162,05-29表格/太原五原路口.jpg
臺北轉運站(華陰街),20,25.04937,121.51914,290,05-29表格/臺北轉運站(華陰街).jpg
捷運民權西路站(3號出口),26,25.06129,121.52021,150,05-29表格/捷運民權西路站(3號出口).jpg
捷運中山站(5號出口),11,25.05296,121.51938,260,05-29表格/捷運中山站(5號出口).jpg
重慶長安路口,15,25.0515,121.51398,81,05-29表格/重慶長安路口.jpg
劍潭抽水站,17,25.08128,121.51784,130,05-29表格/劍潭抽水站.jpg
通河東街大南路口,15,25.08914,121.51542,92,05-29表格/通河東街大南路口.jpg
福港街停車場,22,25.08695,121.51901,135,05-29表格/福港街停車場.jpg
百齡國小,37,25.08521,121.51918,282,05-29表格/百齡國小.jpg
雨聲街165巷口,15,25.10277,121.53357,49,05-29表格/雨聲街165巷口.jpg
天和公園,13,25.12001,121.53342,85,05-29表格/天和公園.jpg
中山天母路口,29,25.11856,121.52964,248,05-29表格/中山天母路口.jpg
天母運動公園,27,25.11633,121.53414,216,05-29表格/天母運動公園.jpg
臺北市立大學(天母校區),16,25.11356,121.53718,136,05-29表格/臺北市立大學(天母校區).jpg
忠誠路二段53巷,18,25.11127,121.53244,107,05-29表格/忠誠路二段53巷.jpg
天母國中,18,25.11811,121.53875,11,05-29表格/天母國中.jpg
天母棒球場,26,25.11341,121.53195,120,05-29表格/天母棒球場.jpg
天母北天玉街口,15,25.12011,121.52652,36,05-29表格/天母北天玉街口.jpg
蘭興公園,16,25.11184,121.52589,151,05-29表格/蘭興公園.jpg
明勝公園,14,25.08009,121.51895,50,05-29表格/明勝公園.jpg
劍潭海外青年活動中心,23,25.07994,121.52426,130,05-29表格/劍潭海外青年活動中心.jpg
忠誠路一段173巷口,11,25.10813,121.5304,112,05-29表格/忠誠路一段173巷口.jpg
雨農國小,32,25.10564,121.52916,157,05-29表格/雨農國小.jpg
忠誠公園,14,25.10399,121.52593,100,05-29表格/忠誠公園.jpg
芝山抽水站,21,25.10155,121.52832,124,05-29表格/芝山抽水站.jpg
至誠路一段305巷口,21,25.10186,121.53083,56,05-29表格/至誠路一段305巷口.jpg
華齡公園,18,25.08302,121.52069,196,05-29表格/華齡公園.jpg
前港公園(福德宮),18,25.08671,121.52096,30,05-29表格/前港公園(福德宮).jpg
華齡街185巷口,12,25.08828,121.51985,126,05-29表格/華齡街185巷口.jpg
前港公園(前港街),19,25.0848,121.52125,56,05-29表格/前港公園(前港街).jpg
百齡高中,15,25.08736,121.52272,54,05-29表格/百齡高中.jpg
捷運芝山站(2號出口),21,25.10364,121.52219,283,05-29表格/捷運芝山站(2號出口).jpg
臺灣戲曲中心,14,25.10208,121.51979,83,05-29表格/臺灣戲曲中心.jpg
捷運劍潭站(2號出口),63,25.08288,121.52455,473,05-29表格/捷運劍潭站(2號出口).jpg
劍潭基河路口,20,25.08403,121.5249,126,05-29表格/劍潭基河路口.jpg
志成公園,15,25.09667,121.53206,80,05-29表格/志成公園.jpg
福林國小,14,25.09896,121.53025,73,05-29表格/福林國小.jpg
中山中正路口,19,25.09651,121.52753,95,05-29表格/中山中正路口.jpg
士林運動中心,27,25.08911,121.52154,198,05-29表格/士林運動中心.jpg
陽明高中,36,25.09164,121.51706,67,05-29表格/陽明高中.jpg
兒童新樂園,23,25.09631,121.51449,50,05-29表格/兒童新樂園.jpg
臺北市立天文館,31,25.09598,121.51776,106,05-29表格/臺北市立天文館.jpg
華聲公園,27,25.09619,121.5223,94,05-29表格/華聲公園.jpg
福林公園,17,25.09419,121.52833,0,05-29表格/福林公園.jpg
捷運士林站(2號出口),31,25.09343,121.52642,311,05-29表格/捷運士林站(2號出口).jpg
銘傳大學,30,25.08771,121.52677,115,05-29表格/銘傳大學.jpg
士林高商,26,25.09435,121.51702,49,05-29表格/士林高商.jpg
蘭雅公園,29,25.10991,121.53039,204,05-29表格/蘭雅公園.jpg
聯合醫院陽明院區,15,25.10455,121.53195,43,05-29表格/聯合醫院陽明院區.jpg
捷運芝山站(1號出口),36,25.10225,121.52286,500,05-29表格/捷運芝山站(1號出口).jpg
至誠公園,15,25.10143,121.53585,34,05-29表格/至誠公園.jpg
原住民文化主題公園,21,25.10113,121.55159,32,05-29表格/原住民文化主題公園.jpg
通河東街2段10巷口,15,25.09106,121.51502,53,05-29表格/通河東街2段10巷口.jpg
梅林新村,15,25.09755,121.54036,52,05-29表格/梅林新村.jpg
延平北中正路口,30,25.08678,121.50948,75,05-29表格/延平北中正路口.jpg
重慶北路四段190巷口,13,25.08505,121.51166,33,05-29表格/重慶北路四段190巷口.jpg
重慶北葫東街口,15,25.08393,121.51169,30,05-29表格/重慶北葫東街口.jpg
葫蘆國小,20,25.08254,121.5075,118,05-29表格/葫蘆國小.jpg
士林3號廣場,30,25.10459,121.52417,231,05-29表格/士林3號廣場.jpg
社正公園,15,25.08824,121.51054,105,05-29表格/社正公園.jpg
社子國小,15,25.09058,121.50142,68,05-29表格/社子國小.jpg
社中街384巷口,18,25.09346,121.50376,36,05-29表格/社中街384巷口.jpg
忠誠路一段138號,15,25.10641,121.52944,56,05-29表格/忠誠路一段138號.jpg
社子公園,14,25.0902,121.50622,77,05-29表格/社子公園.jpg
國立故宮博物院,17,25.09833,121.54788,63,05-29表格/國立故宮博物院.jpg
泰北高中,12,25.09763,121.53402,44,05-29表格/泰北高中.jpg
後港公園,15,25.09312,121.51419,20,05-29表格/後港公園.jpg
重慶北路四段117號,18,25.08279,121.51219,42,05-29表格/重慶北路四段117號.jpg
社子島島頭公園,15,25.10893,121.46639,147,05-29表格/社子島島頭公園.jpg
延平北路八段133巷口,15,25.10304,121.48297,18,05-29表格/延平北路八段133巷口.jpg
坤天亭,14,25.1064,121.4836,25,05-29表格/坤天亭.jpg
社子島濕地解說小築,15,25.11314,121.48974,40,05-29表格/社子島濕地解說小築.jpg
福安國中,11,25.10261,121.48819,5,05-29表格/福安國中.jpg
福安消防分隊,15,25.09669,121.49706,68,05-29表格/福安消防分隊.jpg
聖山綠地,15,25.10696,121.53234,211,05-29表格/聖山綠地.jpg
芝山國小,14,25.11044,121.53595,157,05-29表格/芝山國小.jpg
士林新天地,19,25.08899,121.51751,119,05-29表格/士林新天地.jpg
蘭雅國小,11,25.10775,121.52312,94,05-29表格/蘭雅國小.jpg
中正基河路口,28,25.0933,121.51962,174,05-29表格/中正基河路口.jpg
福林公園(中正路),27,25.09609,121.53006,64,05-29表格/福林公園(中正路).jpg
至善臨溪路口,22,25.09709,121.54229,71,05-29表格/至善臨溪路口.jpg
